Unnamed: 0,Name,Address,Phone,Email,Web,Basic Rate,Format,Contact,Services,Clients,Additional location,Notes
368,TRIMORDIAL STUDIO LAS VEGAS,"Audio Graphics Web   Las Vegas, NV 89104",,trimordial@thefaro.com,trimordial.com,,"Digital Pro Tools, Ozone MasteringMacBook Pro, JBL, Shure, Rde, AKG, Yamaha",Roy Rendahl,"Studio recording, song mastering, andmusic creation & production.  ",,,
369,"UNIVERSITY OF NEVADA, LAS VEGAS","4505 S. Maryland Pkwy.  Las Vegas, NV 89154",['702-895-3332'],,unlv.edu/music/beam/studio,,,"Music Department, Recording Studio  ",,,,
370,CEDARHOUSE SOUND & MASTERING,"P.O. Box 333   North Sutton, NH 03260-0333",['603-927-6363'],cedarhousesound@gmail.com,cedarhousesound.com,please call or email for info ,"Pro Tools Ultimate, Pyramix, SADiE and 2analog ",Gerry Putnam,,,,
371,MOJO MUSIC STUDIO,"P.O. Box 536  Franconia, NH",['603-348-5249'],mojomusicstudio@gmail.com,mojorecordingstudio.com,call for rates  ,Pro Tools 10,Tony or Joe,,,,
372,GDPONDERROSA STUDIOS,"144 Warbasse Junction Rd.  Lafayette, NJ 07848",['973-879-3199'],gdponderrosa@gmail.com,"ponderrosastudios.com,facebook.com/PonderRosaStudios ",call or email for info ,see website for equipment list,,,,,
373,KALEIDOSCOPE SOUND,"514 Monastery Pl  Union City, NJ 07087",['201-223-2868'],info@kaleidoscopesound.com,kaleidoscopesound.com  ,,,,,,,
374,LAKEHOUSE RECORDING STUDIOS,"619 Lake Avenue  Asbury Park, NJ. 07712",['732-455-5669'],booking@lakehouserecordingstudios.com,lakehouserecordingstudios.com ,,,,,,,
375,SOUND ON SOUND STUDIOS,"1 Greenwood Avenue  Suite 210 Montclair, NJ 07042",['212-944-5770'],info@soundonsoundstudios.com,soundonsoundstudios.com ,,,,,,,
376,STUDIO TO STAGE PRODUCTIONS,,,,,,,,,,,
377,170 U.S. 9,"Englishtown, NJ 07726",['732-617-6530'],info@stosp.netWeb : studiotostageproductions.com/recording-studio  ,,,,,,,,
378,WATER MUSIC RECORDERS,"2000 West Street  Union City, NJ 07087",['201-420-7848'],rob@watermusic.net,watermusic.net  ,,,,,,,
379,"JOHN WAGNER RECORDING STUDIOS, INC.","8601 Lomas N.E.  Albuquerque, NM 87112","['505-296-2766', '505-296-2919']",info@johnwagnerstudios.com,johnwagnerstudios.com ,,,,,,,
380,SANTA FE STUDIOS,"1 Santa Fe Studios Rd  Santa Fe, NM  87508",['505-954-2400'],contact@santafestudios.com,santafestudios.com ,,,,,,,
381,STEPBRIDGE STUDIOS,"528 Jose St.  Santa Fe, NM 87501",['505-988-7051'],stepbridge@gmail.com,stepbridge.com,please call for info  ,"Pro Tools HD, Music production, audioservices for film and authors. ",Edgard Rivera,,,,
383,"825 RECORDS, INC. (STUDIO & PRODUCTION COMPANY)","8225 5 th  Avenue  Suite 335 Brooklyn, NY 11209",['347-240-5417'],mattyamendola@825records.com,825records.com,,Semi-private project studio,Matty Amendola,Mixing & full service production ,,,
385,BATTERY STUDIOS,"321 W 44 th  Street Suite 1001  New York, NY  10036",['212-833-7373'],donna.kloepfer@batterystudios.com,batterystudios.com ,,,,,,,
386,BEHIND THE CURTAINS MEDIA,"234 6th St. Ste. #5   Brooklyn, NY 11215",['347-699-4429'],mike@behindthecurtainsmedia.com,"mikeabiuso.com, behindthecurtainsmedia.com",Call or email for rate ,,Michael Abiuso,,,,
387,THE BREWERY RECORDING STUDIO,"910 Grand St.  Brooklyn, NY",['844-717-2739'],booking@breweryrecording.com,breweryrecording.com,$95/hr ,,Nick DAlessandro,,,,
388,THE BUNKER STUDIO,"Brooklyn, NY",['929-234-8534'],booking@thebunkerstudio.com,thebunkerstudio.com ,,,,,,,
390,CORNER STORE STUDIO,"32 E. 23 rd  Street New York, NY",['201-693-3413'],hello@cornerstorenyc.com,cornerstorenyc.com,,"Sony MXP 3036 Console, Apollo X 16 A/DConverters, Analog Outboard Gear ",Abe Silver,"Recording, Mixing, Podcasts, Voice Over,Production, Audio Post Basic Rate: Contact Us  ",,,
391,"CUTTING ROOM RECORDING STUDIOS, THE","14 E. 4th St., Ste. 602  New York, NY 10012",['212-260-0905'],bookings@thecuttingroom.com,thecuttingroom.com,call for rates ,Pro Tools HDX system and SSL DualityConsole ,,,,,
392,DOWNTOWN MUSIC STUDIOS,Soho neighborhood,['212-461-1889'],contact@downtownmusicstudios.com,downtownmusicstudios.com ,,,,,,,
393,DUBWAY STUDIOS,"14 East 4th St. Suite 602  New York, NY 10012",['212-352-3070'],info@dubway.comWeb  dubwaymusic.com ,,please call for info ,"Pro Tools, full-service, music, live bandtracking, mixing. ",Al Houghton,,,,
394,EAST SIDE SOUND,"150 Forsyth St.  New York, NY 10002 phone",['636 476 5004'],info@eastsidesound.nyc,eastsidesound.nyc ,,,Marc Urselli,,,,
395,ELECTRIC KINGDOM STUDIOS,"6 Richard Terrace  Hartsdale, NY 10530",['800-933-1305'],info@electrickingdom.com,electrickingdom.com ,,,,,,,
396,ELECTRIC LADY,"52 W. 8th St.  New York, NY 10011",['212-677-4700'],lee.foster@electricladystudios.com,electricladystudios.com,please call ,digital and analog,,,,,
397,ENGINE ROOM AUDIO,"42 Broadway, 22nd Fl.  New York, NY 10004",['212-625-3467'],info@engineroomaudio.com,engineroomaudio.com,Contact us for details ,"Tracking, Mixing, Mastering and Manufacturing",,,,,
398,EUSONIA STUDIOS,"1133 Broadway, Suite 919  New York, NY 10010",['212-260-7295'],,eusoniastudios.com,call for info ,see website for equipment list,Steve Dalmer,,,,
399,FLUX STUDIOS,"154 E. 2nd St., Ste. #4A  New York, NY 10009",['917-512-3489'],info@fluxstudios.net,fluxstudios.net,Call for rates ,"Vintage Heart, Modern Mind",,,,,
400,FUNKADELIC STUIOS,"209 West 40 th  St.  5 th  Foor New York, NY 10018",['212-696-2513'],funkadelicstudios@gmail.com,funkadelicsudios.com ,,,,,,,
401,GERMANO STUDIOS,"676 Broadway, 3rd Fl.  New York, NY 10012 917-685-`395",,troy@thehitfactory.com,germanostudios.com,please call for info ,SSL Duality SE 48 input analog with TotalRecall ,Troy Germano,,,,
402,GRAND STREET RECORDING,"455 Grand St.  Brooklyn, NY 11211",['718-360-9355'],info@grandstreetrecording.com,grandstreetrecording.com ,,,"Ken Rich, Jake Lummus",,,,
403,THE ICE PLANT,"Long Island City, NY",,booking@theiceplant.com,theiceplant.com,email for rates,,Wayne Silver,"API Console, lots of analog outboard,Studer, Pro Tools HDX, live room, iso room, lounge with full kitchen and daylight, and a lot of musical instruments.  ",,,
404,INVITE ONLY STUDIO,"207 West 25 th  St  New York, NY 10001",['917-327-3710'],info@Inviteonly.studio,inviteonly.studio,,,,"Slate Media technology Raven Z3C, SSLDuality 48 channel, Delta, ProTools, Logic Pro, FL Studio 12, Ableton 10, Ableton 9  ",,,
405,LOUNGE STUDIOS,"315 W 39th St.  New York, NY",['212-268-8522'],frontdesk@loungestudiosnyc.com,loungestudiosnyc.com ,,,Walter Randall,,,,
406,"MARS MAGIC SHOP, THE","68 Jay St.  Brooklyn, NY 11201",['212-226-7035'],mars@magicshopny.com,magicshopny.com,Call for information ,Analog and Digital,,,,,
407,METROSONIC RECORDING,"143 Roebling St., 3rd Fl.  Brooklyn, NY 11211",['718-782-1872'],manager@metrosonic.net,metrosonic.net,Call for information ,all analog and digital formats,,,,,
408,MISSION SOUND,"16 Powers St.  Brooklyn, NY 11211",['917-566-9701'],missionsound@mac.com,missionsoundrecording.com ,,,,,,,
409,MONO LISA STUDIOS,"43-01 21st St., Ste. 212B  Long Island City, NY  11101",['212-920-0192'],MONOLisaNYC@gmail.com,monolisanyc.com,Available upon request ,ProTools HD10,,,,,
410,NEW WARSAW STUDIO,"Brooklyn, NY",['718-662-8928'],riley@rileymcmahon.com,newwarsawstudio.com ,,,,,,,
411,PENTHOUSE STUDIOS,"723 7th Ave, PH   New York, NY 10019",['212-869-0320'],bookings@penthousestudiosnyc.com ,penthousestudiosnyc.com/contact,,,,,,,
412,POWDERHOUSE STUDIOS,"33 S. Broadway  Yonkers, NY 10701",['914-310-1499'],info@powerhousestudios.coWeb: powerhousestudios.co  ,,,,,,,,
413,PYRAMID RECORDING,"12 E. 32nd St., 3rd Fl  New York, NY 10016",['212-686-8687'],pyramidrec@gmail.com,facebook.com/pyramidrecordingnyc ,,,"Todd Hemleb, Founder",,,,
414,QUAD STUDIOS,"723 7th Ave., 10th Fl.  New York, NY 10019",['212-730-1035'],tino@quadnyc.com,Quadnyc.com,Call for info ,Analog /digital,,,,,
415,ROUND HILL MUSIC,"650 Fifth Ave., Suite 1420  New York, NY 10019",['212-380-0080'],info@roundhillmusic.com,roundhillmusic.com,please call ,Digital and analog,,,,,
416,SABELLA STUDIOS,"49 Oakdale Road  Roslyn Heights, NY 11557",['516-484-0862'],sabellastudios@gmail.com,sabellastudios.com,"$75 per hr/min 2 hrs, $350 Half Day, $650Full Day  ",,,,,,
417,SEAR SOUND,"353 W. 48th St., 6th Fl.  New York, NY 10036",['212-582-5380'],waltersear@aol.com,searsound.com,call for rates ,"Analog and Digital, Studio A, Recording/mixNeve 8038, Studio C, Large Recording/mix, Studio D, pre/post room/vacuum tube console & Moog ","Roberta Findlay, Studio Manager",,,,
418,SKILLMAN MUSIC,"65 Skillman Ave  Wiliamsburg, NYC 11211",['917-818-0679'],booking@skillmanmusic.com,skillmanmusic.com,please call for info ,,,,,,
419,STRANGE WEATHER,"New York, NY",['347-422-6419'],booking@strangeweatherbrooklyn.com,strangeweatherbrooklyn.com,call for info ,see website for equipment list,,,,,
420,STRANGE WEATHER RECORDING STUDIO,"Brooklyn, NY",['917-426-4028'],lyse@vanpeltmanagement.com,strangeweatherbrooklyn.com ,,,,,,,
421,STUDIO G BROOKLYN,"44 Dobbin St.  New York, NY 11222",['347-281-1226'],booking@studiogbrooklyn.com,studiogbrooklyn.com/studio ,,,Tony Maimone,,,,
422,THRESHOLD RECORDING STUDIOS,"440 W. 41st St.  New York, NY 10036",['212-244-1871'],thresholdstudiosnyc@gmail.com,thresholdstudios.com,,"Analog/DigitalServices : Music Producers, Artist Development, Recording Studios Basic Rate : call for rates  ",James Walsh,,,,
423,VALHALLA STUDIOS NEW YORK,"89 Letchworth Street   Auburn, NY 13021",['315-255-0370'],contact@valhallastudiosny.com,valhallastudiosny.com ,,,,,,,
424,VINEGAR HILL SOUND,"46 Bridge St.  Brooklyn, NY  11201",['917-688-4208'],info@vinegarhillsound.com,vinegarhillsound.com,"$1500/day, $750/1/2 day  ",,,,,,
425,WATCHMEN STUDIOS,"5996 Snyder Dr.  Lockport, NY 14094",['716-439-6146'],watchmens@aol.com,"watchmenstudios.com, facebook.com/watchmenstudios ","$35/hr, $280/8hr  ",Pro Tools L.E.,,,,,
426,CATALYST RECORDING,"Charlotte, NC",['704-526-8400'],rob@catalystrecording.com,catalystrecording.com,"Tracking, Macing & mixing at $40/hr,mastering at $25/song (6 or more)  ",digital and 16 track analog,Rob Tavaglione,,,,
427,DEEP RIVER SOUND STUDIO,"6173 Deep River Rd.  Sanford, NC 27330",['919-718-0076'],deepriverstudios@gmail.com,deepriverstudios.com ,,,,,,,
428,DWARF STAR STUDIOS,"No Greensboro St.  Carrboro, NC 27510",['919-928-6961'],info@dwarfstarstudios.com ,dwarfstarstudios.com ,,,,,,,
429,EARTHTONE RECORDING,"8-d Wendy Ct.  Greensboro, NC 27409",['336-210-7107'],earthtonesrecording@gmail.com,earthtonesrecording.com,"$50hr, two-hour minimum, $325 per day ",,Benjy Johnson,,,,
430,ECHO MOUNTAIN RECORDING,"14 N. French Broad Ave.  Ashville, NC 28801",['828-232-4314'],info@echomountain.net,echomountain.net,please call for more info ,Digital/Analog,,,,,
431,GAT3 PRODUCTIONS,"655 Presley Rd., Suite E  Charlotte, NC  28217",['704-525-5552'],info@gat3.com,gat3.com,,,Susan Tabor ,,,,
432,MANIFOLD RECORDING,"P.O. Box 1239  Pittsboro, NC 27312",['919-444-2350'],bookings@manifoldrecording.com,manifoldrecording.com,,Analog and digital Synthesizers ,,,,,
433,RADHAUS STUDIOS,"12 Old Charlotte Highway, Suite 10   Asheville, NC 28815",['828-484-4408'],studio@radhaus.us,rad.haus,varies based on requirements. ,"MOBILE VIDEO AND AUDIO RECORDING --Video: record up to 9 cameras at up to 4K resolution; stream up to 8 cameras; Audio: digital and analog, flexible formats.  Also building a 4,600 square foot studio complex. ",Rebekkah Hilgraves,,,,
434,RUBBER ROOM STUDIO,"508 Estes Dr Ext  Chapel Hill, NC 27516",['919-929-7209'],jerrybrownchapelhill@gmail.com,rubberroomstudio.com ,,,,,,,
435,SALOON STUDIOS LIVE,"313 Old West Road   West Jefferson, NC 28964",,info@saloonstudioslive.com,saloonstudioslive.com/recording-studio ,,,Laura Jones336-877-2374 ,,,,
436,SON SET BEACH PRODUCTIONS,"Concord, NC 28027",['505-228-8131'],sonsetbeach@comcast.net,sonsetbeach.com,Call for rates ,analog and digital,Bob Reynolds,,,,
437,SOUND TEMPLE RECORDING,"Asheville, NC   Email : Robert@soundtemplestudios.com",['828-633-2149'],,soundtemplestudios.com,,Pro Tools 12.5 ,,,,,
438,TEQUILA SUNRISE MUSIC,"112 Ann St.   Gaston, NC 27832","['800-537-1417', '252-537-0317']",tequilasunrisemusic@yahoo.com,tequilasunrisemusic.com,$45/hr. 2 hr. min. ,digital,Kenny Barker,,,,
439,STUDIO WARMWOOD,"Asheville, NC",['860-230-1176'],,studiowormwood.com  ,,,Dave KaminskyEmail: studiowarmwood@gmail.com ,,,,
440,WHISKYSAM RECORDING STUDIO,"3314 Royal Cir.  Grand Forks, ND  58201",['701-741-4667'],whiskysam@hotmail.com,whiskysam.com,call for rates  ,Pro Tools HD 10,,,,,
441,BAD RACKET RECORDING STUDIOS,"2220 Superior Avenue  Cleveland, OH",['216-309-2882'],play@badracket.com,badracket.com ,,,,,,,
442,LAVA ROOM RECORDING,"6001 West Creek Road  Independence, OH. 44131",['216-334-1172'],info@lavaroomrecording.com , lavaroomrecording.com,,,,,,,
444,REFRAZE RECORDING STUDIOS,"2727 Gaylord Ave.  Dayton, OH 45419",['937-298-2727'],ron@refraze.com,refraze.com,,"Digidesign Pro Tools|HD 2 AccelBasic Rate : $600/day incl. engineer, $65/hr  ",Ron Pease,,,,
445,STAR SOUND STUDIOS,"10200 Royalton Road  Ste. 3 North Royalton, OH",['216-374-8458'],starstoundstudioscleveland@gmail.com,starsoundstudios.com ,,,,,,,
446,SUPERIOR SOUND CLEVELAND,"2230 Superior Ave E Floor1  Cleveland, OH. 2160577-4223",,,superiorsoundcle.com  ,,,,,,,
447,"BENSON SOUND, INC.","5717 S.E. 74th St., Ste. F  Oklahoma City, OK 73135",['405-610-7455'],info@bensonsound.com,bensonsound.com,please call for info ,digital,,,,,
448,CASTLE ROW STUDIOS,"2908 Epperly Dr.  Del City, OK 73115",['405-265-6793'],info@castlerowstudios.com,castlerowstudios.com,Call or email for rates ,,,,,,
449,CORNERSTONE RECORDING CO.,"1315 Locust Ln.  Edmond, OK 73013",['405-848-8400'],info@cornerstonerecording.com,cornerstonerecording.com,please call for info ,Digital and Analog,Ken Sarkey,,,,
450,STUDIO SEVEN / LUNACY RECORDS,"417 N. Virginia Ave.  Oklahoma City, OK 73106",['405-236-0643'],cope@okla.net,lunacyrecords.com,call for rates  ,"2-inch 24-Track, Pro Tools & other digitalformats, large playing room, tracking, mixing & mastering ",Dave Copenhaver,,,,
451,BIG RED STUDIO,"P.O.Box 66  Corbett, OR 97019",['503-695-3420'],billyo@bigredstudio.com,bigredstudio.com,Please call for rates ,"2-inch analog, vintage Trident Console, ProTools HD2 ",Billy Oskay,,,,
452,FALCON RECORDING STUDIOS,"15A S.E. 15th Ave.  Portland, OR 97214",['503-236-3856'],falconstudios@comcast.net,falconrecordingstudios.com,please call for info ,digital Pro Tools,Dennis Carter,,,,
453,JACKPOT! RECORDING STUDIO,"2420 S.E. 50th  Portland, OR 97206",['503-239-5389'],info@jackpotrecording.com,jackpotrecording.com,$50/hr ,see website for equipment list,Larry Crane,,,,
454,OPAL STUDIO,"6219 S.E. Powell Blvd.  Portland, OR 97206",['503-774-4310'],info@opal-studio.com,opal-studio.com,$50/hr. ,digital and analog,Kevin Hahn,,,,
455,SPROUT CITY STUDIOS,"Eugene, OR  97402",['541-687-0947'],giddy@sproutcity.com,sproutcity.com,please call for info  ,digital,,,,,
456,APOCALYPSE THE APOCALYPSE,"303 W. Market St.  Clearfield, PA 16830",['225-266-1973'],fred@fredweaver.com,apocalypsetheapocalypse.com,$40 hr/$400 Day ,,Fred Weaver,,,,
457,CAMBRIDGE SOUND STUDIOS,"2003 West Moyamensing Ave.  Philadelphia, PA 19145",['215-465-7500'],jscambridge@verizon.net,cambridgesoundstudios.com ,,,,,,,
458,FORGE RECORDING,"100 Mill Rd.   Oreland, PA 19075",['215-885-7000'],info@forgerecording.com,forgerecording.com,,"ProTools HD3 Accell, MacPro 2.8 quadcore, ",,,,,
459,API 1608,,,,,"$95/hr, $400/1/2 day, $800/day ",,,,,,
460,GREEN VALLEY RECORDING,"590 S. Frymire  Hughesville, PA 17737",['570-584-2653'],greenvalleyrecording@windstream.net,greenvalleyrecording.com,$30/hr ,"Multitrack Digital, Analog (2 track only)",Richard or Alison Rupert,,,,
461,MINER STREET BOOKING,"128 Krams Ave.  Philadelphia, PA 19127",,minerstreetbooking@gmail.com,minerstreet.com ,,,Brian McTear,,,,
462,REPERCUSSION STUDIOS,"2424 Coral St.  Philadelphia, PA 19125",['257-307-6648'],repercussionstudios@gmail.com,repercussionstudios.com,$40/$70/hr ,,"Andrew Ha, Founder",,,,
463,RIGHT COAST RECORDING,"Columbia, PA",['717-681-9801'],studio@rightcoastrecording.com,rightcoastrecording.com,call for rates ,"2-inch 16 + 24 track analog, 48 track 192kdigital performer, automated Neotek elite console ",,,,,
464,SINE STUDIOS,"127 S. 22nd St., 2nd Fl.  Philadelphia, PA 19102",['484-883-4343'],matt@sinestudios.com,sinestudios.com,$100 min. (2 hr blocks ,,,,,,
465,SPICE HOUSE SOUND,"1514 E. Wilt St.  Philadelphia, PA  19125",['203-644-2129'],booking@spicehousesound.com,spicehousesound.com,$80/hr/$320/half day/$600 daily ,,,,,,
466,SURREAL SOUND STUDIOS,"2046 Caster Ave., 2nd Fl.  Philadelphia, PA 19134",['215-288-8863'],,surrealsoundstudios.com,,Digital and Analog ,,,,,
467,THIRD STORY,"5120 Walnut St.  Philadelphia, PA 19139",['215-747-1200'],tsr2@verizon.net,thirdstoryrecording.com,,"Pro Tools, Digital/AnalogBasic Rate : please call for rate  ",,,,,
468,THE VAULT RECORDING,"6500 Grand Ave.  Pittsburg, PA 15225",['412-420-9239'],bob@thevaultrecording.com,thevaultrecording.com,,"SSL AWS 948, ProTools II HD Native  ","Bob McCutcheon, Owner",,,,
469,STATIC PRODUCTIONS,"North Kingstown, RI",['401-267-8236'],record@staticproductions.com,staticproductions.com,see website  ,,Peter LaGrasse,,,,
470,CHARLESTON SOUND,"2612 Larch Land, Ste. 107  Mt. Pleasant, SC 29466",['843-216-5556'], Info@charlestonsound ,charlestonsound.com ,,,,,,,
471,THE JAM ROOM,"201 S. Prospect St.   Columbia, SC 29205",['803-787-6908'],jamroomstudio@gmail.com,jamroomstudio.com,please call for rates ,Pro Tools HDX,Jay Matheson,,,,
472,MISSION CONTROL STUDIOS,"14363 Ocean Drive, Unit 13   Pawleys Island, SC 29585",['509-220-1216'],karl@mission-control-studios.com,mission-control-studios.com,"$60/75/hr, block and corp to corp ratesavailable. All major credit cards accepted.  ","Analog, digital and hybrid recording, mixing,mastering and music production. ",Karl Bingle,,,,
473,STRAWBERRY SKYS RECORDING STUDIOS,"1706 Platt Springs Rd.   West Columbia, SC 29169",['803-794-9300'],info@strawberryskys.com,strawberryskys.com,call for pricing ,Radar24 and Pro Tools,Gary Bolton,,,,
474,TRUPHONIC RECORDING,"816B St. Andrews Blvd.  Charleston, SC 29407",['843-619-7700'],Elliott@truphonic.com,truphonic.com  ,,,Elliott Elsey,,,,
475,ALL POETIC AUDIO,"Scotland, SD",['605-660-6741'],all.poetic.audio@gmail.com,allpoeticaudio.com ,,,,,,,
476,THE RIVERSIDE STUDIOS,,['605-215-6594'],adam@riverside.studio,riverside.studio  ,,,,,,,
477,4U RECORDING,"400 Union Avenue  Memphis, TN  38103",['901-779-2044'],info@4urecording.com,4urecording.com,,,,,,"1376 Chattahoochee Ave. NW Atlanta, GA 30318 470-541-2445  ",
478,ADDICTION SOUND STUDIOS,"506 E. Iris Drive  Nashville, TN 37204",['615-953-6243'],info@addictionsound.com,addictionsound.com,please call for info ,Pro Tools HDX2 System,Jonathan Cain or David Kalmusky,,,,
479,ARDENT STUDIOS,"2000 Madison Ave.  Memphis, TN 38104",['901-725-0855'],info@ardentstudios.com,ardentstudios.com,please call for info ,"Pro Tools 9.0.1 and analog 24, 16, 8 and 2 trk1/2-inch and 1/4-inch ",,,,,
480,BOB BULLOCK,"Cool Springs Mix  Franklin, TN",['615-972-8280'],bob@bobbullock.net,bobbullock.net,Contact for Rates ,"Mixing services, specializing in country, Popand Rock, Nuendo and pro Tools. See website ",,,,,
481,BLACKBIRD STUDIO,"2806 Azalea Pl.  Nashville, TN 37204","['615-467-4487', '615-487-2509']",info@blackbirdstudio.com,blackbirdstudio.com,please call ,Digital/analog,"John McBride, Studio Owner;Rolff Zwiep, Studio Mgr. ",,,,
482,CASTLE RECORDING STUDIOS,"1393 Old Hillsboro Rd.  Franklin, TN 37069",['615-791-0810'],booking@castlerecordingstudios.com,castlerecordingstudios.com,please call ,digital and analog,,,,,
483,"CAVE STUDIOS, THE","5853 Davis Hollow Rd.   Franklin, TN 37064",['615-790-7578'],thecaverecordingstudios@gmail.com,thecavestudios.net,call for rates ,Pro Tools HD3,Andrew Hooker,,,,
484,DARK HORSE RECORDING,"2465 Old Charlotte Pike  Franklin, TN  37064",['615-791-5030'],info@darkhorserecording.com,darkhorserecording.com,,,,,"Taylor Swift, Halestorm, Keith Urban, HunterHayes  ",,
485,EAST IRIS STUDIO,"518 E. Iris Dr.  Nashville, TN 37204",['615-777-9090'],info@eastirisstudios.com,eastirisstudios.com ,,,,,,,
486,EASTSIDE MANOR,"Nashville, TN",['615-512-4059'],hello@esmstudios.com,eastsidemanor.com,,Neve VR48 Legend                                                                                                                                                                                                                      th                                                                                                                                                                                                                                                                                                   ,"Aaron Dethrage, Studio Mgr.",,,,
487,FUNHOUSE STUDIOS,"802 18th Avenue South  Nashville, TN  37203",['615-242-7949'],funhousestudios@yahoo.com,facebook.com/FunhouseStudios,"$40/50/hr, 3 hr block, $350/450/day,12 hr day  ",,,,,,
488,THE GROVE,"At Hope Church  8500 Walnut Grove Road Memphis, TN 38018",['901-755-7721'],thegrove@hopechurchmemphis.com,hopepres.com/recording-studio ,,,,,,,
489,HOUSE OF DAVID STUDIO,"1205 16th Ave. S  Nashville, TN  37212",['615-320-7323'],houseofdavidstudio@gmail.com,houseofdavidnashville.com ,,,,,,,
490,JAYS PLACE RECORDING STUDIO,"1508 17th Ave. S  Nashville, TN 37212",['615-479-7986'],jaysplacerecording@comcast.net,facebook.com/jaysplacerecordingstudio ,,,,,,,
491,HILLTOP STUDIO,"902 Due West Ave.  Nashville, TN 37115  ,  865-5553",['615-865-5272'],,,,,,,,,
493,IN CIITE STUDIOS,"320 Billingsly Ct.  Franklin, TN  37067",['615-553-3240'],info@inciite.com,inciite.com ,,,,,,,
494,LAYMAN DRUG COMPANY,"1128 3rd Ave., S  Nashville, TN",['615-750-2228'],studio@laymandrugcompany.com,laymandrugcompany.com ,,,,,,,
495,JAMES LUGOS VOCAL ASYLUM,"Nashville, TN",['615-540-9108'],james@jameslugo.com,jameslugomusic.com/about,call for rates ,digital and analog,James Lugo,,,,
496,MADE IN MEMPHIS,"400 Union Ave.  Memphis, TX 38103",['901-779-2031'],info@mimecorp.com,"mimecorp.com/studio,facebook.com/MadeinMemphisEnt  ",,,,,,,
497,MASTER GROOVE STUDIOS / RADD SOUND,"Northridge, CA  Nashville, TN","['818-830-3822', '615-562-5329']",davejavu@att.net,mastergroovestudios.com,please call for rates ,"digital, unlimited tracks",David Morse,,,,
498,NASHVILLE TRAX RECORDING STUDIOS,"2817 W. End Ave., Suites 126-259  Nashville, TN  37203",['615-319-8616'],nashtrax@bellsouth.net,nashvilletraxrecordingstudio.com,call for rates ,,,,,,
499,OCEAN WAY NASHVILLE,"1200 17th Ave., S.  Nashville, TN 37212",['615-320-3900'],pmcmakin@oceanwaynashville.com,oceanwaynashville.com,please call ,digital and analog,,,,,
500,OMNISOUND STUDIOS,"1806 Division St.  Nashville, TN 37203",['615-482-1511'],,omnisoundstudios.com,call for rates ,Pro Tools HD/24 TK analog,,,,,
501,PALETTE MUSIC,"2491 N. Mt. Juliet Rd., #1934  Mount Juliet, TN 37121",['615-681-4061'],,palettemusic.net,Call for info ,,Jeff Silverman,,,,
502,PARAGON STUDIOS,"320 Billingsly Ct.  Nashville, TN 37067 .  Los Angeles location","['615-778-9083', '818-538-6492']",info@paragon-studios.com,paragon-studios.com,please call ,digital and analog,,,,,
503,PARLOR PRODUCTIONS,"1317 16th Ave., South  Nashville, TN 37212",['615-385-4466'],studio@parlorproductions.com,parlorproductions.com ,,,,,,,
504,PEARL SNAP STUDIOS,"1109 Woodland St.  Box #60064 Nashville, TN 37206",['615-434-5807'],,pearlsnapstudios.com ,,,,,,,
505,PRIME CUT STUDIO,"Nashville, TN",['615-582-7307'],,primecutstudio.com,call for rates ,,,,,,
506,THE RECORD SHOP RECORDING STUDIO,"2480 Moore Way  La Vergne, TN 37086",['248-207-4975'],info@therecordshopnashville.com,therecordshopnashville.com,,,Sean Giovanni ,,,,
507,ROUND HILL MUSIC,"818 18 th  Ave. S Suite 940  Nashville, TN 37203",['615-695-7705'],info@roundhillmusic.com,roundhillmusic.com,please call,Digital and analog,,,,New York 212-380-0080 London +44 (0) 207-734 3251  ,
508,ROYAL STUDIOS,"1320 Willie Mitchell Blvd.  Memphis, TN 38106",['901-775-3790'],,royalstudios.com,call for info ,see website for equipment list,,,,,
509,THE RUKKUS ROOM RECORDING,"2741 Larmon Dr.  Nashville, TN 37204",['615-385-4007'],booking@rukkusroom.com,rukkusroom.com,Call or email for rates ,,,,,,
510,SAM PHILLIPS RECORDING,"639 Madison Ave.  Memphis, TN 38103",['901-523-2251'],samphillipsrecording@gmail.com,"samphillipsrecording.com,facebook.com/samphillipsrecording  ",,,,,,,
511,SIENNA STUDIOS NASHVILLE,"1802 Grand Ave.  Nashville, TN 37212",['615-762-4094'],,siennastudiosnashville.com/about,please call ,Digital and analog,,,,,
512,SKYWAY STUDIO,"3201 Dickerson Pike  Nashville, TN 37207",['615-650-6000'],Information@skywaystudios.tv,skywaystudios.tv ,,,,,,,
513,SOUND EMPORIUM STUDIOS,"3100 Belmont Blvd.  Nashville, TN 37212",['615-383-1982'],,soundemporiumstudios.com,call or email for rates ,,,,,,
514,SOUTHERN GROUND STUDIOS,"114 17th Ave S  Nashville, TN 37203",['615-873-4636'],booking@southerngroundnashville.com ,southerngroundnashville.com,,,,,,,
515,SOUTH BY SEA STUDIOS,"1313 Jewel Street  Nashville, TN 37207",,,southxseastudios.com ,,,,,,,
516,SOUND KITCHEN STUDIOS,"112 Seaboard Ln.  Franklin, TN 37067 225",['615-370-5773'],iblonder@soundkitchen.com,soundkitchen.com,"Please call Ira Blonder, Managing Partner ","Pro Tools HD & Vintage Analog - Neve, SSL,& API Legacy ",,,,,
517,SOUND STAGE STUDIOS LIVE,"10 Music Circles  Nashville, TN 37203",['615-873-1501'],,facebook.com/soundstagestudios,call for rates ,,Nick Autry,,,,
